sample_id,organism,study_title,study_abstract,bioproject,biosample,library_strategy,library_source,library_selection,library_layout,instrument,run_spots,run_bases,run_published
ERR9123871,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773503,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,75922486,12147597760,2022-05-13 05:01:40
ERR9123872,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773492,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,44402899,7104463840,2022-05-13 06:00:40
ERR9123874,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773494,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,48579605,7772736800,2022-05-13 06:00:40
ERR9123875,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773495,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,54720766,8755322560,2022-05-13 05:01:40
ERR9123876,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773496,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,45506168,7280986880,2022-05-13 06:00:40
ERR9123877,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773497,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,49278668,7884586880,2022-05-13 06:00:40
ERR9123878,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773498,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,42463478,6794156480,2022-05-13 05:01:40
ERR9123879,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773499,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,51202593,8192414880,2022-05-13 06:00:40
ERR9123880,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773500,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,54162836,8666053760,2022-05-13 05:01:40
ERR9123881,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773501,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,51016490,8162638400,2022-05-13 08:13:32
ERR9123882,Silene latifolia subsp. alba,Chemical genetics in Silene latifolia elucidate regulatory pathways involved in gynoecium development,"Dioecious plants possess diverse sex determination systems and unique mechanisms of reproductive organ development; however, little is known about how sex-linked genes shape the expression of regulatory cascades that lead to developmental differences between sexes. suggested that female-regulator genes act on the factors that determine the boundaries of the flower whorls. To identify these regulators, we sequenced the transcriptome of male flowers with fully developed gynoecia, induced by rapid demethylation in the parental generation. us Eight candidates were found to have a positive role in gynoecium promotion, floral organ size, whorl boundary, and affect the expression of class B MADS-box flower genes. To complement our transcriptome analysis, we closely examined the floral organs in their native state using a field emission environmental scanning electron microscopy, and examined the differences between females and androhermaphrodites in their placenta and ovule organization. Our results reveal the regulatory pathways potentially involved in sex-specific flower development in the classical model of dioecy, S. latifolia. These pathways include previously hypothesized and unknown female-regulator genes that act on the factors that determine the flower boundaries, and negative regulator of anther development, SUPERMAN-like (SlSUP).",PRJEB36078,SAMEA7773502,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,37242048,5958727680,2022-05-13 06:00:40
SRR10444679,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - L27 Lichen thallus 2 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from symbiotic state,PRJNA584076,SAMN13173247,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,28556633,8566989900,2019-11-15 17:25:33
SRR10444680,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - L28 Lichen thallus 3 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from symbiotic state,PRJNA584077,SAMN13172633,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,30969507,9290852100,2019-11-15 17:25:33
SRR10444681,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - L26 Lichen thallus 1 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from symbiotic state,PRJNA584075,SAMN13172786,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,28548874,8564662200,2019-11-15 17:25:33
SRR10444682,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - F26 Axenic Culture 3 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from axenic state,PRJNA584074,SAMN13173808,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,24926694,7478008200,2019-11-15 17:25:33
SRR10444683,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - F24 Axenic Culture 1 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from axenic state,PRJNA584072,SAMN13172367,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,24805137,7441541100,2019-11-15 17:25:33
SRR10444684,Xanthoria parietina,Xanthoria parietina 46-1 Gene Expression Profiling - F25 Axenic Culture 2 transcriptome,Xanthoria parietina 46-1 Gene Expression Profiling. Sample from axenic state,PRJNA584073,SAMN13173007,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,27776453,8332935900,2019-11-15 17:25:33
SRR11011255,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44428978,8885795600,2020-02-04 06:51:58
SRR11011256,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44558077,8911615400,2020-02-04 06:51:58
SRR11011257,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44385555,8877111000,2020-02-04 06:51:58
SRR11011258,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44058036,8811607200,2020-02-04 06:51:58
SRR11011259,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44121073,8824214600,2020-02-04 06:51:58
SRR11011260,Matricaria chamomilla var. recutita,chamomile Raw sequence reads,Comparative transcriptome analysis of two chamomile species,PRJNA382469,SAMN13968566,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,44818983,8963796600,2020-02-04 06:51:58
SRR12068547,Mesoplasma florum,Transcriptome profiling of Mesoplasma florum strain L1 using RNA sequencing (RNA-Seq) and genome-wide 5'-rapid amplification of cDNA ends (5'-RACE),"Mesoplasma florum is a near-minimal bacterium belonging to the Mollicutes class particularly characterized by its small genome, fast growth rate, and lack of pathogenic potential. Here, we report the first genome-wide transcriptomic analysis of this microorganism using directional RNA sequencing (RNA-Seq) and 5'-rapid amplification of cDNA ends (5'-RACE). 5'-RACE sequencing reads were used to identify 605 putative transcription start sites (TSSs), of which more than 400 could be associated to a conserved promoter sequence. Along with terminator predictions, these TSSs allowed the reconstruction of M. florum transcription units, covering more than 90% of annotated genes. We evaluated the expression level of all M. florum protein coding genes using paired-end RNA-Seq reads according to the number of fragments per kilobase per million of mapped reads (FPKM). FPKM values were converted to absolute transcript abundances using biomass quantification data. These efforts aim at reaching a deep understanding of global cellular mechanisms in M. florum and will guide future genome engineering projects in this simple organism. Overall design: One 5'-RACE replicate and a total of six RNA-Seq replicates (three biological replicates, each processed in technical duplicate) performed on log-phase M. florum cultures growing in ATCC 1161 medium.",PRJNA641121,SAMN15341344,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,8044840,804484000,2020-11-03 18:44:06
SRR128113,Digitalis purpurea,Digitalis purpurea RNA-Seq - Medicinal Plants Consortium,Illumina RNA Sequencing (RNA-Seq) of Digitalis purpurea for the Medicinal Plants Consortium,PRJNA80007,SAMN00222113,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,27693225,3046254750,2011-03-25 12:31:22
SRR128114,Digitalis purpurea,Digitalis purpurea RNA-Seq - Medicinal Plants Consortium,Illumina RNA Sequencing (RNA-Seq) of Digitalis purpurea for the Medicinal Plants Consortium,PRJNA80007,SAMN00222113,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,27848826,3063370860,2011-03-25 12:31:22
SRR13765006,Alliaria petiolata,Alliaria petiolata Genome sequencing and assembly,Draft genome assembly and annotation of Alliaria petiolata (garlic mustard),PRJNA702530,SAMN17984654,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,63660874,15915218500,2021-06-25 00:30:31
SRR14292007,Cladonia macilenta,Cladonia macilenta that produce biruloquinone,"In this study, we identified a polyketide synthase responsible for the biosynthesis of biruloquinone through whole-transcriptome analysis.",PRJNA723447,SAMN18818446,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,52053982,10173788557,2021-05-26 00:38:08
SRR14292008,Cladonia macilenta,Cladonia macilenta that produce biruloquinone,"In this study, we identified a polyketide synthase responsible for the biosynthesis of biruloquinone through whole-transcriptome analysis.",PRJNA723447,SAMN18818446,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,39529674,7744388923,2021-05-26 00:38:08
