sample_id,organism,study_title,study_abstract,bioproject,biosample,library_strategy,library_source,library_selection,library_layout,instrument,run_spots,run_bases,run_published
SRR18070778,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,10997997,2221595394,2022-05-01 00:07:50
SRR18070779,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,16468380,3326612760,2022-05-01 00:07:50
SRR18070780,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,10628095,2146875190,2022-05-01 00:07:50
SRR18070781,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,6986317,1760551884,2022-05-01 00:07:50
SRR18070782,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,16984105,4279994460,2022-05-01 00:07:50
SRR18070783,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,11871000,2991492000,2022-05-01 00:07:50
SRR18070784,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,32329307,8146985364,2022-05-01 00:07:50
SRR18070785,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,38206119,9627941988,2022-05-01 00:07:50
SRR18070786,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,33069723,8333570196,2022-05-01 00:07:49
SRR18070787,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,33513990,8445525480,2022-05-01 00:07:49
SRR18070788,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,27796735,7004777220,2022-05-01 00:07:49
SRR18070789,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,18409152,3718648704,2022-05-01 00:07:49
SRR18070790,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,32783865,8261533980,2022-05-01 00:07:49
SRR18070791,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,23937262,6032190024,2022-05-01 00:07:49
SRR18070792,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,31702484,7989025968,2022-05-01 00:07:49
SRR18070793,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,34064353,8584216956,2022-05-01 00:07:49
SRR18070794,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,40403303,10181632356,2022-05-01 00:07:49
SRR18070795,Gyalolechia flavorubescens,Gyalolechia flavorubescens KoLRI002931 Genome sequencing and assembly,Genome sequencing of Caloplaca flavorubescens strain KoLRI002931.,PRJNA210248,SAMN26082894,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,23042055,4654495110,2022-05-01 00:07:49
SRR18735292,Tenebrio molitor,Zophobas morio and Tenebrio molitor whole genome sequencing,The goal of this study is to generate draft genome assemblies of two beetle species: Zophobas morio (whose larvae are known as superworms) and Tenebrio molitor (whose larvae are known as mealworms).,PRJNA820846,SAMN27548436,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,88154422,26622635444,2022-12-19 22:37:09
SRR19034772,Umbilicaria muehlenbergii,RNA sequencing of Umbilicaria muehlenbergii in yeast and pseudohyphal state,"The lichen-forming fungus Umbilicaria muehlenbergii could undergo a phenotypic transition from the yeast-like to pseudohyphal form under certain nutrient-stress conditions. It is still an open question that whether common mechanism in transcriptomic level is involved in phenotype switch of Umbilicaria muehlenbergii. Here,, we compared RNA-sequencing date of Umbilicaria muehlenbergii grown between normal and nutrient-stress culture. We found that some altered biological pathways related to carbohydrate, protein, DNA/RNA and lipid metabolism, transporting in Umbilicaria muehlenbergii under nutrient stress.",PRJNA832023,SAMN27771025,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,10519177,2629794250,2023-05-01 00:06:15
SRR19034773,Umbilicaria muehlenbergii,RNA sequencing of Umbilicaria muehlenbergii in yeast and pseudohyphal state,"The lichen-forming fungus Umbilicaria muehlenbergii could undergo a phenotypic transition from the yeast-like to pseudohyphal form under certain nutrient-stress conditions. It is still an open question that whether common mechanism in transcriptomic level is involved in phenotype switch of Umbilicaria muehlenbergii. Here,, we compared RNA-sequencing date of Umbilicaria muehlenbergii grown between normal and nutrient-stress culture. We found that some altered biological pathways related to carbohydrate, protein, DNA/RNA and lipid metabolism, transporting in Umbilicaria muehlenbergii under nutrient stress.",PRJNA832023,SAMN27771024,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,11075964,2768991000,2023-05-01 00:06:15
SRR19619612,Piscinibacter sakaiensis,"RNA-seq of Ideonella sakaiensis 201-F6 when grown on PET, TPA·2Na, and EG","Poly(ethylene terephthalate) (PET)-degrading bacterium Ideonella sakaiensis produces hydrolytic enzymes that convert PET, via mono(2-hydroxyethyl) terephthalate (MHET), into the monomeric compounds, terephthalic acid (TPA) and ethylene glycol (EG). Understanding PET metabolism is critical if this bacterium is to be engineered for bioremediation and biorecycling. TPA uptake and catabolism in I. sakaiensis have previously been studied, but EG metabolism remains largely unexplored despite its importance. First, we identified two alcohol dehydrogenases (IsPedE and IsPedH) and one aldehyde dehydrogenase (IsPedI) in I. sakaiensis as the homologs of EG metabolic enzymes in Pseudomonas putida KT2440. IsPedE and IsPedH exhibited EG dehydrogenase activities with Ca2+ and a rare earth element (REE) Pr3+, respectively. We further found an upregulated dehydrogenase gene when the bacterium was grown on EG, whose gene product (IsXoxF) displays a minor EG dehydrogenase activity with Pr3+. IsPedE displayed a similar level of activity toward various alcohols. In contrast, IsPedH was more active toward small alcohols, whereas IsXoxF was the opposite. Structural analysis with homology models revealed that IsXoxF had a larger catalytic pocket than IsPedE and IsPedH, which could accommodate relatively bulkier substrates. Pr3+ regulated the protein expression of IsPedE negatively; IsPedH and IsXoxF were positively regulated. Taken together, these results indicated that the combination of IsPedH and IsXoxF complements the function of IsPedE in the presence of REEs. IsPedI exhibited dehydrogenase activity toward various aldehydes with the highest activity toward glycolaldehyde (GAD). This study demonstrated a unique alcohol oxidation pathway of I. sakaiensis, which could be efficient in EG utilization. Overall design: I. sakaiensis cells were cultured in the minimal medium containing PET, TPA·2Na, and EG as a carbon source for 20 h. Cells were collected for total RNA extraction and subsequent RNA-seq. Differential expression of various conditions was analyzed.",PRJNA847936,SAMN28963195,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,BGISEQ,48602724,4860272400,2022-10-17 00:00:32
SRR19619613,Piscinibacter sakaiensis,"RNA-seq of Ideonella sakaiensis 201-F6 when grown on PET, TPA·2Na, and EG","Poly(ethylene terephthalate) (PET)-degrading bacterium Ideonella sakaiensis produces hydrolytic enzymes that convert PET, via mono(2-hydroxyethyl) terephthalate (MHET), into the monomeric compounds, terephthalic acid (TPA) and ethylene glycol (EG). Understanding PET metabolism is critical if this bacterium is to be engineered for bioremediation and biorecycling. TPA uptake and catabolism in I. sakaiensis have previously been studied, but EG metabolism remains largely unexplored despite its importance. First, we identified two alcohol dehydrogenases (IsPedE and IsPedH) and one aldehyde dehydrogenase (IsPedI) in I. sakaiensis as the homologs of EG metabolic enzymes in Pseudomonas putida KT2440. IsPedE and IsPedH exhibited EG dehydrogenase activities with Ca2+ and a rare earth element (REE) Pr3+, respectively. We further found an upregulated dehydrogenase gene when the bacterium was grown on EG, whose gene product (IsXoxF) displays a minor EG dehydrogenase activity with Pr3+. IsPedE displayed a similar level of activity toward various alcohols. In contrast, IsPedH was more active toward small alcohols, whereas IsXoxF was the opposite. Structural analysis with homology models revealed that IsXoxF had a larger catalytic pocket than IsPedE and IsPedH, which could accommodate relatively bulkier substrates. Pr3+ regulated the protein expression of IsPedE negatively; IsPedH and IsXoxF were positively regulated. Taken together, these results indicated that the combination of IsPedH and IsXoxF complements the function of IsPedE in the presence of REEs. IsPedI exhibited dehydrogenase activity toward various aldehydes with the highest activity toward glycolaldehyde (GAD). This study demonstrated a unique alcohol oxidation pathway of I. sakaiensis, which could be efficient in EG utilization. Overall design: I. sakaiensis cells were cultured in the minimal medium containing PET, TPA·2Na, and EG as a carbon source for 20 h. Cells were collected for total RNA extraction and subsequent RNA-seq. Differential expression of various conditions was analyzed.",PRJNA847936,SAMN28963196,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,BGISEQ,48975508,4897550800,2022-10-17 00:00:31
SRR19619614,Piscinibacter sakaiensis,"RNA-seq of Ideonella sakaiensis 201-F6 when grown on PET, TPA·2Na, and EG","Poly(ethylene terephthalate) (PET)-degrading bacterium Ideonella sakaiensis produces hydrolytic enzymes that convert PET, via mono(2-hydroxyethyl) terephthalate (MHET), into the monomeric compounds, terephthalic acid (TPA) and ethylene glycol (EG). Understanding PET metabolism is critical if this bacterium is to be engineered for bioremediation and biorecycling. TPA uptake and catabolism in I. sakaiensis have previously been studied, but EG metabolism remains largely unexplored despite its importance. First, we identified two alcohol dehydrogenases (IsPedE and IsPedH) and one aldehyde dehydrogenase (IsPedI) in I. sakaiensis as the homologs of EG metabolic enzymes in Pseudomonas putida KT2440. IsPedE and IsPedH exhibited EG dehydrogenase activities with Ca2+ and a rare earth element (REE) Pr3+, respectively. We further found an upregulated dehydrogenase gene when the bacterium was grown on EG, whose gene product (IsXoxF) displays a minor EG dehydrogenase activity with Pr3+. IsPedE displayed a similar level of activity toward various alcohols. In contrast, IsPedH was more active toward small alcohols, whereas IsXoxF was the opposite. Structural analysis with homology models revealed that IsXoxF had a larger catalytic pocket than IsPedE and IsPedH, which could accommodate relatively bulkier substrates. Pr3+ regulated the protein expression of IsPedE negatively; IsPedH and IsXoxF were positively regulated. Taken together, these results indicated that the combination of IsPedH and IsXoxF complements the function of IsPedE in the presence of REEs. IsPedI exhibited dehydrogenase activity toward various aldehydes with the highest activity toward glycolaldehyde (GAD). This study demonstrated a unique alcohol oxidation pathway of I. sakaiensis, which could be efficient in EG utilization. Overall design: I. sakaiensis cells were cultured in the minimal medium containing PET, TPA·2Na, and EG as a carbon source for 20 h. Cells were collected for total RNA extraction and subsequent RNA-seq. Differential expression of various conditions was analyzed.",PRJNA847936,SAMN28963197,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,BGISEQ,49024038,4902403800,2022-10-17 00:00:31
SRR22271585,Cladonia metacorallifera,Cladonia metacorallifera KoLRI002260_2,Genomic DNA of C. metacorallifera KoLRI002260_2 for BGC analysis,PRJNA891905,SAMN31360099,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,30313505,5784942932,2022-11-14 03:10:26
SRR22271586,Cladonia metacorallifera,Cladonia metacorallifera KoLRI002260_2,Genomic DNA of C. metacorallifera KoLRI002260_2 for BGC analysis,PRJNA891905,SAMN31360099,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,31281092,5972954837,2022-11-14 03:14:01
SRR22271587,Cladonia metacorallifera,Cladonia metacorallifera KoLRI002260_2,Genomic DNA of C. metacorallifera KoLRI002260_2 for BGC analysis,PRJNA891905,SAMN31360099,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,30645753,5859716370,2022-11-14 03:10:26
SRR22271588,Cladonia metacorallifera,Cladonia metacorallifera KoLRI002260_2,Genomic DNA of C. metacorallifera KoLRI002260_2 for BGC analysis,PRJNA891905,SAMN31360099,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,32286296,6160617764,2022-11-14 03:10:26
SRR22271589,Cladonia metacorallifera,Cladonia metacorallifera KoLRI002260_2,Genomic DNA of C. metacorallifera KoLRI002260_2 for BGC analysis,PRJNA891905,SAMN31360099,RNA-Seq,TRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,28555047,5441045855,2022-11-14 03:10:26
SRR22904707,Rusavskia elegans,RNA-seq of Xanthoria elegans,Xanthoria elegans as an lichen forming fungi,PRJNA916377,SAMN32423455,RNA-Seq,TRANSCRIPTOMIC,RANDOM,PAIRED,ILLUMINA,24269179,7251974718,2022-12-28 11:12:10
SRR24974225,Digitalis purpurea,Digitalis purpurea L,Not found,PRJNA985863,SAMN35729981,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,22940519,6882155700,2023-06-21 00:52:37
SRR24974226,Digitalis purpurea,Digitalis purpurea L,Not found,PRJNA985863,SAMN35729980,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,22628113,6788433900,2023-06-21 00:52:37
SRR24974227,Digitalis purpurea,Digitalis purpurea L,Not found,PRJNA985863,SAMN35729979,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,23241151,6972345300,2023-06-21 00:52:37
SRR24974228,Digitalis purpurea,Digitalis purpurea L,Not found,PRJNA985863,SAMN35729978,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,22899045,6869713500,2023-06-21 00:52:37
SRR25582085,Digitalis purpurea,Digitalis purpurea Raw sequence reads,Normal RNA seq data of Digitalis purpurea tissue types,PRJNA929980,SAMN32978590,RNA-Seq,TRANSCRIPTOMIC,Oligo-dT,PAIRED,ILLUMINA,46944022,14083206600,2023-08-09 10:31:44
SRR29366264,Acarospora socialis,Acarospora socialis Transcriptome or Gene expression,"These data have been produced as part of the CCGP. RNA-seq data were generated with Illumina sequencing at the UCLA Technology Center for Genomics and Bioinformatics. For more information, go to ccgproject.org.",PRJNA1013257,SAMN41791442,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,47054557,9341143767,2024-06-12 15:16:34
SRR29366265,Acarospora socialis,Acarospora socialis Transcriptome or Gene expression,"These data have been produced as part of the CCGP. RNA-seq data were generated with Illumina sequencing at the UCLA Technology Center for Genomics and Bioinformatics. For more information, go to ccgproject.org.",PRJNA1013257,SAMN41791441,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,40504777,8042408515,2024-06-12 15:20:52
SRR29366266,Acarospora socialis,Acarospora socialis Transcriptome or Gene expression,"These data have been produced as part of the CCGP. RNA-seq data were generated with Illumina sequencing at the UCLA Technology Center for Genomics and Bioinformatics. For more information, go to ccgproject.org.",PRJNA1013257,SAMN41791440,RNA-Seq,TRANSCRIPTOMIC,PolyA,PAIRED,ILLUMINA,48123742,9555289409,2024-06-12 15:20:52
SRR5489198,Usnea florida,Usnea florida ATCC18376 Transcriptome,1000 Fungal Genomes,PRJNA372893,SAMN06314129,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,55080349,16634265398,2017-05-01 16:34:34
SRR5992919,Zophobas atratus,De novo transcriptome assembly of the Malpighian tubules and fat body of Zophobas morio larvae (Coleoptera: Tenebrionidae),"The Malpighian tubules in insects play an essential role in osmoregulation, performing transport of ions, and fluids during the formation of primary urine, whereas fat body is usually associated with the intermediary metabolism. A luciferase-like enzyme that displays weak luminescence activity in the presence of firefly D-luciferin was cloned from the tubules of Z. morio larvae. Therefore, to better understand the molecular physiology of tubules and fat body in Coleoptera and analyse the AMP-CoA ligases enzymes, we performed a comparative transcriptional analysis of these tissues from Z. morio. Although these tissues perform distinct physiological functions in insects they are also involved in similar pathways, such as nitrogen metabolism to degradation/excretion, eye pigments biosynthesis, immunity, and detoxification. Our results corroborate to the physiological versatility of tubules and fat body in a Coleopteran larvae. Futhermore our analysis also indicates the presence of AMP-CoA ligases isoforms that could be related to important unknown roles in tubules and fat body physiology, such as degradation/excretion of carboxilic acids",PRJNA400859,SAMN07581518,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,18675319,3249505506,2019-09-01 01:22:33
SRR5992920,Zophobas atratus,De novo transcriptome assembly of the Malpighian tubules and fat body of Zophobas morio larvae (Coleoptera: Tenebrionidae),"The Malpighian tubules in insects play an essential role in osmoregulation, performing transport of ions, and fluids during the formation of primary urine, whereas fat body is usually associated with the intermediary metabolism. A luciferase-like enzyme that displays weak luminescence activity in the presence of firefly D-luciferin was cloned from the tubules of Z. morio larvae. Therefore, to better understand the molecular physiology of tubules and fat body in Coleoptera and analyse the AMP-CoA ligases enzymes, we performed a comparative transcriptional analysis of these tissues from Z. morio. Although these tissues perform distinct physiological functions in insects they are also involved in similar pathways, such as nitrogen metabolism to degradation/excretion, eye pigments biosynthesis, immunity, and detoxification. Our results corroborate to the physiological versatility of tubules and fat body in a Coleopteran larvae. Futhermore our analysis also indicates the presence of AMP-CoA ligases isoforms that could be related to important unknown roles in tubules and fat body physiology, such as degradation/excretion of carboxilic acids",PRJNA400859,SAMN07581519,RNA-Seq,TRANSCRIPTOMIC,cDNA,PAIRED,ILLUMINA,60362646,10382375112,2019-09-01 01:22:33
SRR6048009,Lobaria pulmonaria,Lobaria pulmonaria Scotland Transcriptome,Lobaria pulmonaria Scotland Transcriptome transcriptome,PRJNA403314,SAMN07622175,RNA-Seq,TRANSCRIPTOMIC,RT-PCR,PAIRED,ILLUMINA,84787819,25605921338,2017-09-18 06:26:11
SRR8859643,Usnea baileyi,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313032,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,15465021,4606089918,2020-05-02 00:00:37
SRR8859644,Usnea baileyi,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313033,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,16506071,4923197007,2020-05-02 00:00:37
SRR8859645,Usnea sinensis,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313028,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,22138225,6587306754,2020-05-02 00:00:37
SRR8859646,Usnea sinensis,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313029,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,31090918,9194787913,2020-05-02 00:00:37
SRR8859647,Usnea undulata,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313030,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,36867296,10990685778,2020-05-02 00:00:37
SRR8859648,Usnea undulata,Transcriptomic Analysis of Usnea sp.,"This project aims to study transcriptome of Usnea sp. with intent to analyze the expression profile of the genes involved in synthesis of therapeutically significant secondary metabolites. This study also looking for avenues to engineer the particular pathway to enhance the production of said secondary metabolite. The project outcome in large, will benefit the society by overproducing the medically important metabolites in a cost effective manner.",PRJNA530379,SAMN11313031,RNA-Seq,METATRANSCRIPTOMIC,RANDOM PCR,PAIRED,ILLUMINA,17383240,5173642627,2020-05-02 00:00:36
